"Distance [mm]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []","Voltage [V]"
7.555500552,-4.99992E-005,0,0.003394500248,0,0,-1,95.911889391979,0.825674227604376
7.5774005536,-4.99992E-005,0,0.0033726002464,0,0,-1,95.9134651132383,0.823573739819083
7.5993005552,-4.99992E-005,0,0.0033507002448,0,0,-1,95.9150408344976,0.821473217525493
7.6212005568,-4.99992E-005,0,0.0033288002432,0,0,-1,95.9166165557569,0.819372660723604
7.6431005584,-4.99992E-005,0,0.0033069002416,0,0,-1,95.9181922770162,0.817272069413417
7.66500056,-4.99992E-005,0,0.00328500024,0,0,-1,95.9197679982755,0.815171443594933
7.6869005616,-4.99992E-005,0,0.0032631002384,0,0,-1,95.9213437195349,0.81307078326815
7.7088005632,-4.99992E-005,0,0.0032412002368,0,0,-1,95.9229194407941,0.810970088433069
7.7307005648,-4.99992E-005,0,0.0032193002352,0,0,-1,95.9244951620535,0.80886935908969
7.7526005664,-4.99992E-005,0,0.0031974002336,0,0,-1,95.9260708833128,0.806768595238013
7.774500568,-4.99992E-005,0,0.003175500232,0,0,-1,95.927646604572,0.804667796878037
7.7964005696,-4.99992E-005,0,0.0031536002304,0,0,-1,95.9292223258313,0.802566964009764
7.8183005712,-4.99992E-005,0,0.0031317002288,0,0,-1,95.9310282013223,0.800466085998799
7.8402005728,-4.99992E-005,0,0.0031098002272,0,0,-1,95.9317638916073,0.798365188271891
7.8621005744,-4.99992E-005,0,0.0030879002256,0,0,-1,95.9324995818922,0.796264274433365
7.884000576,-4.99992E-005,0,0.003066000224,0,0,-1,95.9332352721771,0.79416334448322
7.9059005776,-4.99992E-005,0,0.0030441002224,0,0,-1,95.9339709624621,0.792062398421457
7.9278005792,-4.99992E-005,0,0.0030222002208,0,0,-1,95.934706652747,0.789961436248075
7.9497005808,-4.99992E-005,0,0.0030003002192,0,0,-1,95.935442343032,0.787860457963076
7.9716005824,-4.99992E-005,0,0.0029784002176,0,0,-1,95.9361780333169,0.785759463566457
7.993500584,-4.99992E-005,0,0.002956500216,0,0,-1,95.9369137236018,0.78365845305822
8.0154005856,-4.99992E-005,0,0.0029346002144,0,0,-1,95.9376494138867,0.781557426438365
8.0373005872,-4.99992E-005,0,0.0029127002128,0,0,-1,95.9383851041716,0.779456383706892
8.0592005888,-4.99992E-005,0,0.0028908002112,0,0,-1,95.9391207944566,0.7773553248638
8.0811005904,-4.99992E-005,0,0.0028689002096,0,0,-1,95.9398564847415,0.775254249909089
8.103000592,-4.99992E-005,0,0.002847000208,0,0,-1,95.9405921750265,0.773153158842761
8.1249005936,-4.99992E-005,0,0.0028251002064,0,0,-1,95.9406512627448,0.771052061467363
8.1468005952,-4.99992E-005,0,0.0028032002048,0,0,-1,95.9409455926914,0.76895095782829
8.1687005968,-4.99992E-005,0,0.0027813002032,0,0,-1,95.941239922638,0.766849847743392
8.1906005984,-4.99992E-005,0,0.0027594002016,0,0,-1,95.9415342525846,0.764748731212667
8.2125006,-4.99992E-005,0,0.0027375002,0,0,-1,95.9418285825312,0.762647608236116
8.2344006016,-4.99992E-005,0,0.0027156001984,0,0,-1,95.9421229124778,0.760546478813738
8.2563006032,-4.99992E-005,0,0.0026937001968,0,0,-1,95.9424172424245,0.758445342945534
8.2782006048,-4.99992E-005,0,0.0026718001952,0,0,-1,95.9427115723711,0.756344200631504
8.3001006064,-4.99992E-005,0,0.0026499001936,0,0,-1,95.9430059023177,0.754243051871648
8.322000608,-4.99992E-005,0,0.002628000192,0,0,-1,95.9433002322643,0.752141896665965
8.3439006096,-4.99992E-005,0,0.0026061001904,0,0,-1,95.9435945622109,0.750040735014456
8.3658006112,-4.99992E-005,0,0.0025842001888,0,0,-1,95.9438888921575,0.747939566917121
8.3877006128,-4.99992E-005,0,0.0025623001872,0,0,-1,95.9441832221041,0.745838392373959
8.4096006144,-4.99992E-005,0,0.0025404001856,0,0,-1,95.9444775520507,0.743737211384971
8.431500616,-4.99992E-005,0,0.002518500184,0,0,-1,95.944939939387,0.741636023687124
8.4534006176,-4.99992E-005,0,0.0024966001824,0,0,-1,95.9450205160423,0.739534828466625
8.4753006192,-4.99992E-005,0,0.0024747001808,0,0,-1,95.9451010926977,0.737433631481497
8.4972006208,-4.99992E-005,0,0.0024528001792,0,0,-1,95.9451816693529,0.73533243273174
8.5191006224,-4.99992E-005,0,0.0024309001776,0,0,-1,95.9452622460082,0.733231232217355
