"Distance [mm]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []"
7.0737005168,-4.99992E-005,0,0.0038763002832,0,0,-1,95.7646036775731
7.0956005184,-4.99992E-005,0,0.0038544002816,0,0,-1,95.7802355487024
7.11750052,-4.99992E-005,0,0.00383250028,0,0,-1,95.7958674198316
7.1394005216,-4.99992E-005,0,0.0038106002784,0,0,-1,95.8114992909609
7.1613005232,-4.99992E-005,0,0.0037887002768,0,0,-1,95.8271311620902
7.1832005248,-4.99992E-005,0,0.0037668002752,0,0,-1,95.8353059680962
7.2051005264,-4.99992E-005,0,0.0037449002736,0,0,-1,95.8399391257763
7.227000528,-4.99992E-005,0,0.003723000272,0,0,-1,95.8445722834564
7.2489005296,-4.99992E-005,0,0.0037011002704,0,0,-1,95.8492054411364
7.2708005312,-4.99992E-005,0,0.0036792002688,0,0,-1,95.8538385988165
7.2927005328,-4.99992E-005,0,0.0036573002672,0,0,-1,95.8584717564966
7.3146005344,-4.99992E-005,0,0.0036354002656,0,0,-1,95.8631049141766
7.336500536,-4.99992E-005,0,0.003613500264,0,0,-1,95.8677380718567
7.3584005376,-4.99992E-005,0,0.0035916002624,0,0,-1,95.8723712295367
7.3803005392,-4.99992E-005,0,0.0035697002608,0,0,-1,95.8770043872168
7.4022005408,-4.99992E-005,0,0.0035478002592,0,0,-1,95.8816375448969
7.4241005424,-4.99992E-005,0,0.0035259002576,0,0,-1,95.8862707025769
7.446000544,-4.99992E-005,0,0.003504000256,0,0,-1,95.890903860257
7.4679005456,-4.99992E-005,0,0.0034821002544,0,0,-1,95.8955370179371
7.4898005472,-4.99992E-005,0,0.0034602002528,0,0,-1,95.9001701756171
7.5117005488,-4.99992E-005,0,0.0034383002512,0,0,-1,95.9048033332972
7.5336005504,-4.99992E-005,0,0.0034164002496,0,0,-1,95.9103136707197
7.555500552,-4.99992E-005,0,0.003394500248,0,0,-1,95.911889391979
7.5774005536,-4.99992E-005,0,0.0033726002464,0,0,-1,95.9134651132383
7.5993005552,-4.99992E-005,0,0.0033507002448,0,0,-1,95.9150408344976
7.6212005568,-4.99992E-005,0,0.0033288002432,0,0,-1,95.9166165557569
7.6431005584,-4.99992E-005,0,0.0033069002416,0,0,-1,95.9181922770162
7.66500056,-4.99992E-005,0,0.00328500024,0,0,-1,95.9197679982755
7.6869005616,-4.99992E-005,0,0.0032631002384,0,0,-1,95.9213437195349
7.7088005632,-4.99992E-005,0,0.0032412002368,0,0,-1,95.9229194407941
7.7307005648,-4.99992E-005,0,0.0032193002352,0,0,-1,95.9244951620535
7.7526005664,-4.99992E-005,0,0.0031974002336,0,0,-1,95.9260708833128
7.774500568,-4.99992E-005,0,0.003175500232,0,0,-1,95.927646604572
7.7964005696,-4.99992E-005,0,0.0031536002304,0,0,-1,95.9292223258313
7.8183005712,-4.99992E-005,0,0.0031317002288,0,0,-1,95.9310282013223
7.8402005728,-4.99992E-005,0,0.0031098002272,0,0,-1,95.9317638916073
7.8621005744,-4.99992E-005,0,0.0030879002256,0,0,-1,95.9324995818922
7.884000576,-4.99992E-005,0,0.003066000224,0,0,-1,95.9332352721771
